,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE
1270,2024-03-22,Townhouse,213 14th Pl NE,Washington,DC,20002.0,720000.0,2.0,1.0,Old City 1,940.0,1088.0,1915.0,0.0,38.892559,-76.9843656
1271,2024-05-22,Townhouse,1431 Ames Pl NE,Washington,DC,20002.0,899000.0,3.0,2.0,Old City 1,1750.0,1186.0,1908.0,0.0,38.8913537,-76.9842652
1272,2024-04-19,Townhouse,606 A St NE,Washington,DC,20002.0,1750000.0,4.0,3.5,Capitol Hill,2804.0,1836.0,1872.0,0.0,38.8911673,-76.9978995
1273,2024-03-15,Townhouse,1428 E Capitol St NE #1428,Washington,DC,20003.0,597850.0,2.0,2.0,Old City 1,1400.0,,1980.0,582.0,38.8898012,-76.9845639
1274,2024-03-21,Townhouse,1211 Florida Ave NE,Washington,DC,20002.0,550000.0,2.0,1.0,Old City 1,768.0,966.0,1916.0,0.0,38.9021252,-76.989171
1275,2024-04-29,Townhouse,1733 Lang Pl NE,Washington,DC,20002.0,384522.0,3.0,1.5,Trinidad,1362.0,1224.0,1937.0,0.0,38.9042242,-76.9778493
1276,2024-04-30,Townhouse,3958 Ames St NE,Washington,DC,20019.0,481000.0,4.0,2.5,Deanwood,1736.0,2242.0,1941.0,0.0,38.8911135,-76.9482892
1277,2024-04-11,Townhouse,1724 C St NE,Washington,DC,20002.0,855000.0,3.0,2.5,Old City 1,1996.0,1283.0,1931.0,0.0,38.8936403,-76.9795514
1278,2024-05-20,Condo/Co-op,516 A St NE #201,Washington,DC,20002.0,621000.0,2.0,1.0,Capitol Hill,1000.0,,1916.0,836.0,38.8911208,-76.9987319
1279,2024-05-01,Condo/Co-op,1123 Staples St NE #3,Washington,DC,20002.0,599900.0,2.0,2.0,Trinidad,1150.0,,1925.0,265.0,38.901613,-76.9852102
1280,2024-03-29,Townhouse,1327 North Carolina Ave NE,Washington,DC,20002.0,1135000.0,2.0,2.0,Old City 1,2026.0,1525.0,1918.0,0.0,38.8906497,-76.9873589
1281,2024-04-24,Condo/Co-op,440 12th St NE #211,Washington,DC,20002.0,649000.0,2.0,1.0,Old City 1,1020.0,,1900.0,561.0,38.8953159,-76.9904672
1282,2024-05-15,Townhouse,1352 E Capitol St NE,Washington,DC,20003.0,1312000.0,3.0,2.5,Old City 1,2616.0,2203.0,1919.0,0.0,38.890214,-76.986638
1283,2024-05-23,Condo/Co-op,1341 E Capitol St SE #301,Washington,DC,20003.0,600000.0,2.0,1.5,Old City 1,900.0,,1900.0,313.0,38.8895479,-76.9868286
1284,2024-05-23,Townhouse,1525 A St NE,Washington,DC,20002.0,1250000.0,4.0,3.5,Old City 1,2424.0,1310.0,1909.0,0.0,38.8907338,-76.9826131
1285,2024-03-08,Townhouse,922 5th St NE,Washington,DC,20002.0,1100000.0,4.0,3.5,Old City 1,2040.0,,1913.0,0.0,38.9019771,-76.9997298
1286,2024-04-05,Single Family Residential,4815 Meade St NE,Washington,DC,20019.0,545000.0,4.0,3.5,Deanwood,2211.0,4136.0,1945.0,0.0,38.9058689,-76.9331344
1287,2024-04-19,Townhouse,517 K St NE,Washington,DC,20002.0,980000.0,4.0,2.5,Old City 1,1995.0,1440.0,1909.0,0.0,38.9022557,-76.9988106
1288,2024-03-26,Townhouse,319 34th Pl NE,Washington,DC,20019.0,474999.0,3.0,2.5,Lily Ponds,1368.0,1474.0,1939.0,0.0,38.8941239,-76.9563531
1289,2024-06-03,Townhouse,625 M St NE,Washington,DC,20002.0,995000.0,4.0,2.5,Old City 1,1782.0,1530.0,1912.0,0.0,38.9054439,-76.9975508
1290,2024-05-10,Townhouse,1373 A St NE,Washington,DC,20002.0,1076300.0,3.0,2.0,Old City 1,1694.0,1059.0,1914.0,0.0,38.890715,-76.986009
1291,2024-05-30,Townhouse,619 Massachusetts Ave NE,Washington,DC,20002.0,2300000.0,4.0,3.5,Capitol Hill,2913.0,2150.0,1900.0,0.0,38.8925556,-76.9978432
1292,2024-05-02,Townhouse,1337 North Carolina Ave NE,Washington,DC,20002.0,1325000.0,4.0,3.5,Old City 1,2466.0,1916.0,1918.0,0.0,38.8907392,-76.9871456
1293,2024-05-10,Condo/Co-op,1018 Florida Ave NE #301,Washington,DC,20002.0,695000.0,2.0,2.5,Trinidad,1346.0,,2008.0,346.0,38.9038186,-76.9920578
1294,2024-03-28,Townhouse,1422 C St NE,Washington,DC,20002.0,730000.0,3.0,2.5,Old City 1,1788.0,1568.0,1910.0,0.0,38.8937754,-76.984299
1295,2024-04-01,Townhouse,1613 E Capitol St SE,Washington,DC,20003.0,1350000.0,4.0,3.5,Old City 1,2111.0,1965.0,1917.0,0.0,38.8895267,-76.9816664
1296,2024-04-25,Condo/Co-op,116 6th St NE #201,Washington,DC,20002.0,597000.0,2.0,1.0,Capitol Hill,969.0,,1915.0,342.0,38.891404,-76.9987452
1297,2024-04-11,Townhouse,214 17th Pl NE,Washington,DC,20002.0,850000.0,4.0,2.5,Old City 1,1949.0,1433.0,1929.0,0.0,38.8925712,-76.9801241
1298,2024-04-05,Townhouse,847 51st St NE,Washington,DC,20019.0,230000.0,2.0,1.5,Deanwood,810.0,2407.0,1945.0,0.0,38.9012197,-76.9264437
1299,2024-04-15,Townhouse,432 23rd Pl NE,Washington,DC,20002.0,700000.0,3.0,3.5,Old City 1,1690.0,1464.0,1932.0,0.0,38.8959139,-76.973965
1300,2024-05-10,Townhouse,1410 A St NE,Washington,DC,20002.0,1050000.0,3.0,3.5,Old City 1,1200.0,1120.0,1909.0,0.0,38.8911147,-76.9850884
1301,2024-05-31,Condo/Co-op,217 16th St NE #2,Washington,DC,20002.0,485000.0,1.0,1.0,KINGMAN PARK,775.0,,2024.0,169.0,38.8926341,-76.9817454
1302,2024-05-17,Townhouse,628 Massachusetts Ave NE,Washington,DC,20002.0,1430000.0,5.0,3.5,Old City 1,2573.0,1703.0,1923.0,0.0,38.8930214,-76.9973483
1304,2024-04-11,Townhouse,815 8th St NE,Washington,DC,20002.0,1399000.0,6.0,5.5,Old City 1,3840.0,2757.0,1910.0,0.0,38.9006934,-76.9947276
1305,2024-04-05,Townhouse,640 8th St NE,Washington,DC,20002.0,1520000.0,5.0,3.5,Old City 1,2841.0,2300.0,1910.0,0.0,38.8985675,-76.9951594
1306,2024-05-30,Townhouse,309 Tennessee Ave NE,Washington,DC,20002.0,660000.0,3.0,1.0,Old City 1,1838.0,1203.0,1912.0,0.0,38.8938862,-76.9865255
1307,2024-04-17,Townhouse,913 7th St NE,Washington,DC,20002.0,1750000.0,5.0,3.5,Old City 1,3700.0,2083.0,1917.0,0.0,38.9017637,-76.9957847
1308,2024-04-24,Condo/Co-op,217 16th St NE #9,Washington,DC,20002.0,765000.0,2.0,2.0,KINGMAN PARK,1245.0,,2024.0,272.0,38.8926218,-76.9817635
