,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_greenspace_loc,closest_metro_direct,closest_metro_loc
1353,2024-03-08,Townhouse,1312 Gallatin St NW,Washington,DC,20011.0,1525000.0,5.0,4.5,16th Street Heights,3500.0,5226.0,1917.0,0.0,38.9516738,-77.0307414,0.11065339329886535,"(38.9526199602958, -77.03113787183298)",1.699222449439086,"(38.9371288, -77.0247153)"
1354,2024-05-16,Condo/Co-op,7175 12th St NW Unit 219,Washington,DC,20012.0,472900.0,1.0,1.0,SHEPHERD PARK,658.0,,2023.0,388.0,38.97692,-77.0276172,0.45596033410757536,"(38.98060623333333, -77.02992773333334)",0.8489308624397994,"(38.9757757, -77.0179075)"
1355,2024-05-29,Single Family Residential,6214 8th St NW,Washington,DC,20011.0,920000.0,4.0,4.5,Brightwood,2400.0,4400.0,1923.0,0.0,38.9658446,-77.0244886,0.3183311380235144,"(38.96305517544253, -77.02531697400127)",1.1855020149203055,"(38.9750301, -77.0175271)"
1356,2024-05-14,Townhouse,804 Kennedy St NW,Washington,DC,20011.0,650000.0,4.0,3.0,Petworth,2451.0,1980.0,1912.0,0.0,38.9561246,-77.0243902,0.27683476353936515,"(38.95388748710293, -77.0257951220426)",1.9644771685561022,"(38.9520825, -77.0022744)"
1357,2024-04-26,Condo/Co-op,1117 Allison St NW #1,Washington,DC,20011.0,530000.0,2.0,2.5,16th Street Heights,1167.0,,1915.0,227.0,38.9453395,-77.0274074,0.32885435597201335,"(38.942774399570574, -77.02551477005186)",0.9422087188304827,"(38.9371288, -77.0247153)"
1358,2024-03-27,Single Family Residential,7317 Alaska Ave NW,Washington,DC,20012.0,1350000.0,3.0,3.5,Shepherd Park,3086.0,6250.0,1923.0,0.0,38.9790266,-77.0315511,0.22481639775005074,"(38.98060623333333, -77.02992773333334)",1.2335383307387924,"(38.9757757, -77.0179075)"
1359,2024-05-30,Condo/Co-op,939 Longfellow St NW #209,Washington,DC,20011.0,235000.0,1.0,1.0,Petworth,640.0,,1940.0,451.0,38.9575666,-77.0272775,0.07614134500924635,"(38.957172922770766, -77.02799800570484)",2.1169329335203133,"(38.9750301, -77.0175271)"
1360,2024-03-19,Single Family Residential,3421 Northampton St NW,Washington,DC,20015.0,2450000.0,6.0,5.5,Chevy Chase,4578.0,5300.0,1922.0,0.0,38.9660165,-77.0695104,0.24037022130924232,"(38.967616097898706, -77.06764027384)",1.4810187278116456,"(38.960649, -77.0851875)"
1361,2024-04-26,Single Family Residential,3326 Quesada St NW,Washington,DC,20015.0,3920000.0,7.0,8.0,Chevy Chase,8186.0,10502.0,1892.0,0.0,38.96845,-77.0680612,0.09961089457472128,"(38.967616097898706, -77.06764027384)",1.7160784406735305,"(38.960649, -77.0851875)"
1362,2024-05-13,Townhouse,610 Roxboro Pl NW,Washington,DC,20011.0,650000.0,3.0,3.5,Brightwood,1481.0,1409.0,1925.0,0.0,38.9654161,-77.0217152,0.19794411066087145,"(38.96603405000001, -77.01956805)",1.1286772914059835,"(38.9750301, -77.0175271)"
1364,2024-03-06,Townhouse,405 Jefferson St NE,Washington,DC,20011.0,582500.0,3.0,2.0,Riggs Park,1504.0,2201.0,1954.0,0.0,38.9550155,-76.9987656,0.3014616789154311,"(38.952392782420475, -76.99788264106985)",0.44544582284286693,"(38.9520825, -77.0022744)"
1365,2024-05-10,Condo/Co-op,30 Kennedy St NW #16,Washington,DC,20011.0,419900.0,1.0,1.0,Chillum,620.0,,2023.0,219.0,38.9564035,-77.0113173,0.2330315029607635,"(38.957247167493655, -77.00885030651033)",0.9177645446010436,"(38.9520825, -77.0022744)"
1366,2024-04-22,Condo/Co-op,30 Kennedy St NW #8,Washington,DC,20011.0,485000.0,2.0,2.0,Chillum,846.0,,2023.0,219.0,38.9564035,-77.0113173,0.2330315029607635,"(38.957247167493655, -77.00885030651033)",0.9177645446010436,"(38.9520825, -77.0022744)"
1367,2024-03-13,Single Family Residential,44 Sheridan St NE,Washington,DC,20011.0,450000.0,3.0,2.0,Takoma,1768.0,4820.0,1950.0,0.0,38.9666447,-77.0068784,0.1466355601317794,"(38.96778082914413, -77.00773950265608)",1.3102935789146983,"(38.9750301, -77.0175271)"
1368,2024-05-28,Townhouse,622 Hamilton St NW,Washington,DC,20011.0,737500.0,3.0,2.5,Petworth,1505.0,2200.0,1926.0,0.0,38.9529374,-77.0209735,0.2651937872620637,"(38.950859623063884, -77.01946796667475)",1.6197527844218556,"(38.9520825, -77.0022744)"
1369,2024-05-01,Townhouse,18 Tuckerman St NW,Washington,DC,20011.0,450000.0,3.0,1.5,Takoma,1504.0,3068.0,1947.0,0.0,38.967049,-77.009665,0.18529314447232392,"(38.96778082914413, -77.00773950265608)",1.1178304110838773,"(38.9750301, -77.0175271)"
1370,2024-03-28,Townhouse,1688 Oak St NW #22,Washington,DC,20010.0,965000.0,3.0,2.5,Mount Pleasant,1658.0,,1982.0,657.0,38.9360481,-77.0386002,0.2042718753059203,"(38.9345555, -77.039977)",0.9539760784179981,"(38.928931, -77.0324415)"
1371,2024-04-30,Townhouse,424 Ingraham St NW,Washington,DC,20011.0,835000.0,4.0,3.5,Petworth,2322.0,2850.0,1932.0,0.0,38.9541353,-77.018674,0.20652421172702964,"(38.95239217582976, -77.01784946751164)",1.436358232347042,"(38.9520825, -77.0022744)"
1372,2024-05-06,Townhouse,764 Kennedy St NE,Washington,DC,20011.0,575000.0,3.0,3.5,Riggs Park,1668.0,2311.0,1952.0,0.0,38.9574961,-76.995346,0.38850872450615864,"(38.95961302469534, -76.99892060493342)",0.8492820424028659,"(38.9520825, -77.0022744)"
1373,2024-04-26,Single Family Residential,75 Sheridan St NE,Washington,DC,20011.0,915000.0,4.0,3.5,Takoma,2660.0,4800.0,1942.0,0.0,38.9662046,-77.0054769,0.26264742132907387,"(38.96778082914413, -77.00773950265608)",1.4311832008365313,"(38.9750301, -77.0175271)"
1374,2024-04-05,Townhouse,425 Emerson St NW,Washington,DC,20011.0,1246000.0,5.0,3.5,Petworth,2460.0,2800.0,1928.0,0.0,38.9501407,-77.0185821,0.11071986915756657,"(38.950859623063884, -77.01946796667475)",1.426632100110312,"(38.9520825, -77.0022744)"
1375,2024-05-10,Townhouse,512 Peabody St NW,Washington,DC,20011.0,525000.0,4.0,2.0,Brightwood,1616.0,2442.0,1929.0,0.0,38.9625061,-77.0205457,0.4012931522661865,"(38.96603405000001, -77.01956805)",1.4168461164756632,"(38.9750301, -77.0175271)"
1376,2024-04-19,Townhouse,46 Hamilton St NW,Washington,DC,20011.0,880000.0,4.0,3.5,Petworth,2052.0,2466.0,1936.0,0.0,38.9532426,-77.0105697,0.1303231267245475,"(38.95427303333334, -77.0112878)",0.7288218245683089,"(38.9520825, -77.0022744)"
1377,2024-04-01,Townhouse,688 Nicholson St NE,Washington,DC,20011.0,490000.0,3.0,1.5,Riggs Park,1531.0,2592.0,1950.0,0.0,38.9583372,-76.9956047,0.3198871249908914,"(38.95961302469534, -76.99892060493342)",0.9035037421426544,"(38.9520825, -77.0022744)"
1378,2024-04-01,Townhouse,232 Gallatin St NW,Washington,DC,20011.0,670000.0,3.0,2.0,Petworth,1582.0,2286.0,1937.0,0.0,38.9520347,-77.0147278,0.20510234455390583,"(38.95387911438465, -77.01475432169455)",1.0768985934779258,"(38.9520825, -77.0022744)"
1379,2024-05-20,Townhouse,4832 7th St NW,Washington,DC,20011.0,745000.0,3.0,3.5,Petworth,1949.0,1584.0,1925.0,0.0,38.9494809,-77.0222216,0.14697630412410417,"(38.94816057392673, -77.02214164079105)",1.3903195540214863,"(38.9371288, -77.0247153)"
1380,2024-03-22,Townhouse,6155 1st Pl NE,Washington,DC,20011.0,585000.0,3.0,2.5,Takoma,1287.0,2433.0,1942.0,0.0,38.9650061,-77.00684,0.31818559276092273,"(38.96778082914413, -77.00773950265608)",1.4477532747572603,"(38.9750301, -77.0175271)"
1381,2024-04-22,Townhouse,634 Farragut St NW,Washington,DC,20011.0,855000.0,4.0,3.5,Petworth,1897.0,2545.0,1927.0,0.0,38.9508185,-77.0213381,0.16178384918698202,"(38.950859623063884, -77.01946796667475)",1.5499918632948746,"(38.9371288, -77.0247153)"
1382,2024-03-08,Townhouse,528 Sheridan St NW,Washington,DC,20011.0,703000.0,3.0,3.5,Brightwood,1481.0,1734.0,1928.0,0.0,38.9659624,-77.0210159,0.1254288971478261,"(38.96603405000001, -77.01956805)",1.0524263398087081,"(38.9750301, -77.0175271)"
1383,2024-03-13,Single Family Residential,38 Riggs Rd NE,Washington,DC,20011.0,849000.0,4.0,3.5,Chillum,3443.0,4357.0,1900.0,0.0,38.9553732,-77.0077454,0.18649062574619285,"(38.953982721889105, -77.00653949316718)",0.5980784027432525,"(38.9520825, -77.0022744)"
