,LOCATION,PRICE,ZIP OR POSTAL CODE,TARGET_ENCODED_PRICE_5,TARGET_ENCODED_PRICE_10,TARGET_ENCODED_PRICE_15,TARGET_ENCODED_PRICE_20,TARGET_ENCODED_PRICE_25,TARGET_ENCODED_PRICE_30,TARGET_ENCODED_PRICE_35,TARGET_ENCODED_PRICE_40,TARGET_ENCODED_PRICE_45,TARGET_ENCODED_PRICE_50
1035,Randle Heights,301000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1036,Old City 1,725000.0,20024.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1037,Anacostia,430000.0,20020.0,437179.0833333333,437179.0833333333,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1038,OLD TOWN ALEXANDRIA,1570000.0,22314.0,1517597.7272727273,1517597.7272727273,1517597.7272727273,1517597.7272727273,1058173.5273972603,1058173.5273972603,1058173.5273972603,1058173.5273972603,1058173.5273972603,1058173.5273972603
1039,R. L. A. SW,638000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1040,Old City 1,1200000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1041,Anacostia,328500.0,20020.0,437179.0833333333,437179.0833333333,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1042,Randle Heights,126000.0,20032.0,364975.0,364975.0,364975.0,364975.0,311390.54054054053,311390.54054054053,311390.54054054053,311390.54054054053,311390.54054054053,311390.54054054053
1043,Capitol Hill,1850000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1044,Hillcrest,265000.0,20020.0,457794.44444444444,457794.44444444444,457794.44444444444,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1045,Hillcrest,435000.0,20020.0,457794.44444444444,457794.44444444444,457794.44444444444,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1047,Old City 1,1062000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1048,Marshall Heights,410000.0,20019.0,344508.82352941175,344508.82352941175,344508.82352941175,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1049,Hillcrest,177000.0,20020.0,457794.44444444444,457794.44444444444,457794.44444444444,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1050,Marshall Heights,460000.0,20019.0,344508.82352941175,344508.82352941175,344508.82352941175,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1051,Congress Heights,460000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1052,Anacostia,255650.0,20020.0,437179.0833333333,437179.0833333333,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1053,Randle Heights,572000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1054,Old City 1,829000.0,20003.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0,937493.0
1055,Congress Heights,325000.0,20032.0,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,304155.71428571426,311390.54054054053,311390.54054054053,311390.54054054053
1056,Capitol Hill,715000.0,20003.0,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,1226444.076923077,976005.7289719626,976005.7289719626,976005.7289719626
1057,Hillcrest,510000.0,20019.0,457794.44444444444,457794.44444444444,457794.44444444444,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378,405214.8378378378
1058,Fort Dupont Park,485000.0,20020.0,406668.75,406668.75,406668.75,406668.75,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1061,Randle Heights,195000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1062,Randle Heights,85000.0,20020.0,364975.0,364975.0,364975.0,364975.0,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
1063,R. L. A. SW,395000.0,20024.0,549257.2727272727,549257.2727272727,549257.2727272727,549257.2727272727,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546,660665.4545454546
1064,Barry Farms,419000.0,20020.0,423916.5,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667,408372.4666666667
