,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,closest_greenspace_direct,closest_greenspace_area,all_greenspace_area_under1km,closest_metro_direct,closest_school_direct,closest_college_direct,closest_shop_direct,closest_tourism_direct,closest_leisure_direct,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,TARGET_ENCODED_PRICE_50
414,2.0,1.0,859.0,0.0,1963.0,479.0,0.19241691719515,362.1149981538765,820031.3109218015,0.6847102437004708,0.6998993319435614,0.6923823993332636,0.7742544342344801,0.4164934062789658,0.5106331932798219,1,0,0,848407.1428571428
415,2.0,2.5,2068.0,0.0,2002.0,1924.0,0.03388890984568449,113743.53148072009,1764018.0036872867,0.8205459828953099,1.192306431241656,1.1767195095741247,0.7106271282284361,0.22179773401213454,0.6314774636070436,1,0,0,848407.1428571428
416,2.0,2.0,1398.0,0.0,1980.0,1347.0,0.1314264044734497,113743.53148072009,1765303.892230576,0.7386881656194486,1.0914586748182484,1.0734331593907622,0.6060924311033751,0.3278364907986755,0.517709789594042,1,0,0,848407.1428571428
417,1.0,1.0,775.0,0.0,1991.0,656.0,0.04999611665435891,1003.3221435239539,77046.31426995061,0.23590530023958334,0.1702506828876503,0.28439158657232255,1.3128389466134058,0.3095616748902871,0.07560225928462211,1,0,0,792921.9140625
418,3.0,3.0,1781.0,0.0,1991.0,1714.0,0.04999611665435891,1003.3221435239539,77046.31426995061,0.23590530023958334,0.1702506828876503,0.28439158657232255,1.3128389466134058,0.3095616748902871,0.07560225928462211,1,0,0,792921.9140625
419,2.0,2.0,1543.0,0.0,1964.0,1480.0,0.1314264044734497,113743.53148072009,1765303.892230576,0.7386881656194486,1.0914586748182484,1.0734331593907622,0.6060924311033751,0.3278364907986755,0.517709789594042,1,0,0,848407.1428571428
420,3.0,3.0,1430.0,0.0,1996.0,857.0,0.1047924365333974,2068.779441235587,84577.52969762497,0.2067096193346306,0.1962042998490987,0.27450108059194633,1.2591464718842875,0.21451791127017006,0.08775406994954849,1,0,0,792921.9140625
421,2.0,2.0,941.0,0.0,1996.0,571.0,0.1273360914030818,2068.779441235587,84534.17552449368,0.18575127376405343,0.165927090160015,0.2512854277092136,1.2499097089496851,0.2138992743375297,0.055261620948354295,1,0,0,792921.9140625
422,1.0,1.0,605.0,0.0,1991.0,595.0,0.04999611665435891,1003.3221435239539,77046.31426995061,0.23590530023958334,0.1702506828876503,0.28439158657232255,1.3128389466134058,0.3095616748902871,0.07560225928462211,1,0,0,792921.9140625
423,1.0,1.0,641.0,0.0,1947.0,368.0,0.0731453937231814,2240.723645761609,1337187.6840717131,0.7285549492419832,0.8841968575421165,0.8647679191021065,0.5403778104845643,0.4769726076897237,0.4224889145511138,1,0,0,848407.1428571428
