SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_metro_direct
2024-03-22,Townhouse,4330 Texas Ave SE,Washington,DC,20019.0,475000.0,3.0,2.0,Fort Dupont Park,1491.0,2540.0,1950.0,0.0,38.8828534,-76.9425316,0.6922104802505414,0.9444051123903319
2024-05-21,Townhouse,218 16th St SE,Washington,DC,20003.0,945000.0,3.0,2.5,Old City 1,1980.0,1526.0,1925.0,0.0,38.8869908,-76.9819423,0.7945626520432054,0.43219975050913273
2024-03-29,Townhouse,529 6th St SE,Washington,DC,20003.0,1450000.0,3.0,2.5,Capitol Hill,1588.0,1564.0,1857.0,0.0,38.8818152,-76.9987052,0.7940349377199267,0.35638357372170554
2024-03-18,Townhouse,1352 Independence Ave SE,Washington,DC,20003.0,805000.0,3.0,2.5,Old City 1,2214.0,912.0,1914.0,0.0,38.8877765,-76.9866164,0.5777234119060579,0.7308603677758014
2024-03-15,Townhouse,1242 C St SE,Washington,DC,20003.0,1300000.0,3.0,2.5,Old City 1,2268.0,1808.0,1942.0,0.0,38.8862093,-76.9887314,0.34840087539759024,0.6259585831347481
2024-04-12,Townhouse,315 9th St SE,Washington,DC,20003.0,1800000.0,4.0,4.0,Capitol Hill,2130.0,2073.0,1900.0,0.0,38.8854616,-76.9940186,0.4526913724944856,0.20375243532971613
2024-04-04,Townhouse,143 Kentucky Ave SE,Washington,DC,20003.0,1525143.0,4.0,2.5,Old City 1,2074.0,2213.0,1909.0,0.0,38.8882168,-76.9892714,0.5626460528216939,0.7153591356043775
2024-04-15,Condo/Co-op,514 4th St SE #303,Washington,DC,20003.0,1185000.0,2.0,2.0,Capitol Hill,1455.0,,2017.0,684.0,38.8821587,-77.0002715,0.9220875578355351,0.43507462236844363
2024-05-30,Townhouse,1304 C St SE,Washington,DC,20003.0,935000.0,3.0,2.0,Old City 1,1611.0,834.0,1923.0,0.0,38.8855189,-76.9880197,0.29908026297190715,0.5291330215748034
2024-06-04,Condo/Co-op,1211 Van St SE #407,Washington,DC,20003.0,595000.0,2.0,1.0,Old City 1,834.0,,2020.0,605.0,38.87628,-77.0085016,1.2158345721850827,0.10479076586615994
2024-05-30,Townhouse,1225 Independence Ave SE,Washington,DC,20003.0,1250000.0,5.0,3.0,Old City 1,2036.0,1700.0,1900.0,0.0,38.887395,-76.9893005,0.47131051608200464,0.6601679261831312
2024-05-03,Townhouse,237 14th St SE,Washington,DC,20003.0,875000.0,2.0,1.5,Old City 1,1320.0,1124.0,1910.0,0.0,38.8861843,-76.9857672,0.47776522270952265,0.5456702729586911
